ID,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
10763,Resort Hotel,1,38,2017,April,14,2,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,70.0,0,0,Canceled,2017-02-23
10764,Resort Hotel,1,84,2017,April,14,2,2,2,2,0.0,0,HB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,114.75,0,2,Canceled,2017-03-20
10765,Resort Hotel,1,38,2017,April,14,2,2,2,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,70.0,0,0,Canceled,2017-02-23
10766,Resort Hotel,1,174,2017,April,14,2,4,6,2,2.0,0,BB,CHE,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,130.0,0,1,Canceled,2016-11-10
10767,Resort Hotel,1,10,2017,April,14,3,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient,80.0,0,0,Canceled,2017-04-03
10768,Resort Hotel,1,10,2017,April,14,3,1,0,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient,80.0,0,0,Canceled,2017-04-03
10769,Resort Hotel,1,255,2017,April,14,3,1,0,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,54.0,0,2,Canceled,2017-01-08
10770,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10771,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10772,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10773,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10774,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10775,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10776,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10777,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10778,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10779,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10780,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10781,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10782,Resort Hotel,1,10,2017,April,14,3,1,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,Non Refund,,135.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10783,Resort Hotel,1,55,2017,April,14,3,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,1,Canceled,2017-02-17
10784,Resort Hotel,1,26,2017,April,14,3,1,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,175.0,,0,Transient,72.0,0,0,Canceled,2017-03-18
10785,Resort Hotel,1,12,2017,April,14,3,1,3,1,0.0,0,HB,PRT,Complementary,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,0.0,0,0,Canceled,2017-03-23
10786,Resort Hotel,1,112,2017,April,14,3,1,3,1,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,175.0,,0,Transient,87.48,0,0,Canceled,2017-02-17
10787,Resort Hotel,1,364,2017,April,14,3,1,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,147.0,,0,Transient,195.98,0,0,Canceled,2016-07-04
10788,Resort Hotel,1,12,2017,April,14,3,1,3,1,0.0,0,HB,PRT,Complementary,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,0.0,0,0,Canceled,2017-03-23
10789,Resort Hotel,1,255,2017,April,14,3,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,67.5,0,0,Canceled,2017-01-08
10790,Resort Hotel,1,255,2017,April,14,3,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,67.5,0,0,Canceled,2017-01-08
10791,Resort Hotel,1,255,2017,April,14,3,3,7,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,67.5,0,0,Canceled,2017-01-08
10792,Resort Hotel,1,273,2017,April,14,3,1,5,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,147.0,,0,Transient,81.18,0,0,Canceled,2016-12-12
10793,Resort Hotel,1,48,2017,April,14,4,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,70.0,0,0,Canceled,2017-02-20
10794,Resort Hotel,1,26,2017,April,14,4,0,4,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,105.0,0,0,Canceled,2017-03-12
10795,Resort Hotel,1,121,2017,April,14,4,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,83.25,0,1,Canceled,2017-02-28
10796,Resort Hotel,1,240,2017,April,14,4,2,5,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient-Party,57.43,0,1,Canceled,2016-12-03
10797,Resort Hotel,1,192,2017,April,14,4,2,5,2,0.0,0,BB,USA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,68.57,0,1,Canceled,2016-09-25
10798,Resort Hotel,1,205,2017,April,14,5,0,1,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,81.0,0,1,Canceled,2016-12-13
10799,Resort Hotel,1,6,2017,April,14,5,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,E,0,No Deposit,,20.0,0,Transient,45.0,0,0,Canceled,2017-04-03
10800,Resort Hotel,1,12,2017,April,14,5,0,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,165.0,0,0,Canceled,2017-04-05
10801,Resort Hotel,1,46,2017,April,14,5,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,70.0,0,0,Canceled,2017-02-21
10802,Resort Hotel,1,152,2017,April,14,5,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,E,1,No Deposit,,223.0,0,Transient-Party,60.0,0,0,Canceled,2017-03-28
10803,Resort Hotel,1,226,2017,April,14,5,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,67.5,0,0,Canceled,2016-08-23
10804,Resort Hotel,1,59,2017,April,14,5,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,63.75,0,0,Canceled,2017-02-05
10805,Resort Hotel,1,52,2017,April,14,5,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,93.75,0,0,Canceled,2017-02-17
10806,Resort Hotel,1,57,2017,April,14,5,0,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,93.75,0,1,Canceled,2017-03-07
10807,Resort Hotel,1,152,2017,April,14,5,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,E,1,No Deposit,,223.0,0,Transient-Party,60.0,0,0,Canceled,2017-03-28
10808,Resort Hotel,1,252,2017,April,14,5,1,4,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,C,C,4,No Deposit,,223.0,100,Transient-Party,42.0,0,0,Canceled,2017-03-29
10809,Resort Hotel,1,1,2017,April,14,5,1,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,116.0,0,2,Canceled,2017-04-04
10810,Resort Hotel,1,21,2017,April,14,5,2,5,2,1.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,314.0,,0,Transient,125.29,0,1,Canceled,2017-03-26
10811,Resort Hotel,1,41,2017,April,14,5,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,72.86,0,1,Canceled,2017-02-27
10812,Resort Hotel,1,175,2017,April,14,6,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2017-02-22
10813,Resort Hotel,1,175,2017,April,14,6,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2017-02-22
10814,Resort Hotel,1,10,2017,April,14,6,0,3,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,250.0,,0,Transient,162.0,0,0,Canceled,2017-03-28
10815,Resort Hotel,1,175,2017,April,14,6,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2017-02-22
10816,Resort Hotel,1,175,2017,April,14,6,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2017-02-22
10817,Resort Hotel,1,22,2017,April,14,6,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,115.0,0,0,Canceled,2017-03-15
10818,Resort Hotel,1,175,2017,April,14,6,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2017-02-22
10819,Resort Hotel,1,175,2017,April,14,6,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2017-02-22
10820,Resort Hotel,1,175,2017,April,14,6,0,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,C,1,No Deposit,240.0,,0,Transient,60.0,0,0,Canceled,2017-02-22
10821,Resort Hotel,1,180,2017,April,14,6,1,3,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,51.75,0,1,Canceled,2017-03-03
10822,Resort Hotel,1,31,2017,April,14,6,1,3,1,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient,51.75,0,1,Canceled,2017-03-27
10823,Resort Hotel,1,32,2017,April,14,6,2,3,3,1.0,0,BB,VEN,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,165.0,0,0,Canceled,2017-03-26
10824,Resort Hotel,1,84,2017,April,14,6,2,5,2,0.0,0,Undefined,ESP,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,206.5,0,0,Canceled,2017-03-31
10825,Resort Hotel,1,0,2017,April,14,7,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,115.0,0,0,Canceled,2017-04-07
10826,Resort Hotel,1,1,2017,April,14,7,0,2,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,E,E,0,No Deposit,250.0,,0,Transient,110.0,0,0,Canceled,2017-04-07
10827,Resort Hotel,1,47,2017,April,14,7,1,2,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,103.33,0,2,No-Show,2017-04-07
10828,Resort Hotel,1,53,2017,April,14,7,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,137.71,0,0,Canceled,2017-02-13
10829,Resort Hotel,1,32,2017,April,14,7,2,5,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,159.29,0,0,Canceled,2017-03-25
10830,Resort Hotel,1,53,2017,April,14,7,2,5,2,1.0,0,BB,FRA,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,187.71,0,0,Canceled,2017-02-14
10831,Resort Hotel,1,53,2017,April,14,7,2,5,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,137.71,0,0,Canceled,2017-02-13
10832,Resort Hotel,1,84,2017,April,14,7,2,4,2,2.0,0,HB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,193.0,0,0,Canceled,2017-01-26
10833,Resort Hotel,1,223,2017,April,14,7,2,4,2,0.0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,96.0,0,2,Canceled,2017-02-26
10834,Resort Hotel,1,24,2017,April,14,8,0,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,F,0,No Deposit,240.0,,0,Transient,147.0,0,1,No-Show,2017-04-08
10835,Resort Hotel,1,45,2017,April,14,8,0,1,3,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,138.4,0,1,Canceled,2017-03-10
10836,Resort Hotel,1,155,2017,April,14,8,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,3,No Deposit,,223.0,0,Transient-Party,60.0,0,0,No-Show,2017-04-08
10837,Resort Hotel,1,62,2017,April,14,8,2,1,3,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,150.0,0,0,Canceled,2017-02-06
10838,Resort Hotel,1,123,2017,April,14,8,2,1,3,1.0,0,BB,BRA,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,150.0,0,0,Canceled,2016-12-15
10839,Resort Hotel,1,45,2017,April,14,8,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,137.0,0,1,Canceled,2017-03-28
10840,Resort Hotel,1,45,2017,April,14,8,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,240.0,,0,Transient,137.0,0,1,Canceled,2017-03-28
10841,Resort Hotel,1,58,2017,April,14,8,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,105.0,0,1,Canceled,2017-02-19
10842,Resort Hotel,1,30,2017,April,14,8,2,3,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,155.0,0,0,Canceled,2017-03-10
10843,Resort Hotel,1,95,2017,April,14,8,2,3,3,1.0,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,150.0,0,0,Canceled,2017-01-19
10844,Resort Hotel,1,32,2017,April,14,8,2,4,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240.0,,0,Transient,110.0,0,0,Canceled,2017-03-28
10845,Resort Hotel,1,313,2017,April,14,8,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,48.0,0,0,Canceled,2017-01-26
10846,Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
10847,Resort Hotel,1,46,2017,April,14,8,2,5,2,2.0,0,BB,HUN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,153.57,0,0,Canceled,2017-02-23
10848,Resort Hotel,1,60,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134.0,,0,Transient,76.0,0,0,Canceled,2017-03-09
10849,Resort Hotel,1,47,2017,April,14,8,2,5,2,2.0,0,BB,HUN,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,153.57,0,0,Canceled,2017-02-20
10850,Resort Hotel,1,89,2017,April,14,8,2,5,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,147.86,0,0,Canceled,2017-01-11
10851,Resort Hotel,1,313,2017,April,14,8,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,48.0,0,0,Canceled,2017-01-26
10852,Resort Hotel,1,313,2017,April,14,8,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,48.0,0,0,Canceled,2017-01-26
10853,Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
10854,Resort Hotel,1,313,2017,April,14,8,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,48.0,0,0,Canceled,2017-01-26
10855,Resort Hotel,1,86,2017,April,14,8,2,5,2,2.0,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,195.86,0,0,Canceled,2017-02-07
10856,Resort Hotel,1,313,2017,April,14,8,2,5,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298.0,,0,Transient-Party,48.0,0,0,Canceled,2017-01-26
10857,Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
10858,Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
10859,Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
10860,Resort Hotel,1,187,2017,April,14,8,2,5,3,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240.0,,0,Transient,198.0,0,0,Canceled,2017-02-11
10861,Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
10862,Resort Hotel,1,58,2017,April,14,8,2,5,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,147.86,0,0,Canceled,2017-02-09
10863,Resort Hotel,1,233,2017,April,14,8,2,6,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,62.34,0,1,Canceled,2016-12-25
10864,Resort Hotel,1,233,2017,April,14,8,2,6,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,62.34,0,1,Canceled,2016-12-25
10865,Resort Hotel,1,70,2017,April,14,8,2,5,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,77.86,0,0,Canceled,2017-01-29
10866,Resort Hotel,1,351,2017,April,14,8,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,D,D,0,No Deposit,298.0,,0,Transient-Party,82.0,0,0,Canceled,2017-01-26
10867,Resort Hotel,1,200,2017,April,14,8,4,6,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,E,1,No Deposit,240.0,,0,Transient,74.46,0,2,Canceled,2016-11-19
10868,Resort Hotel,1,3,2017,April,15,9,1,0,2,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,F,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2017-04-06
10869,Resort Hotel,1,29,2017,April,15,9,1,0,2,2.0,0,BB,ISR,Online TA,TA/TO,0,0,0,C,C,2,No Deposit,240.0,,0,Transient,125.0,0,0,Canceled,2017-03-14
10870,Resort Hotel,1,3,2017,April,15,9,1,0,1,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,F,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2017-04-06
10871,Resort Hotel,1,210,2017,April,15,9,1,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,43.2,0,0,Canceled,2016-10-04
10872,Resort Hotel,1,79,2017,April,15,9,1,0,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,F,F,0,No Deposit,,,0,Transient,79.2,0,0,Canceled,2017-02-17
10873,Resort Hotel,1,212,2017,April,15,9,2,0,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,5.0,,0,Transient,43.2,0,0,Canceled,2016-09-11
10874,Resort Hotel,1,3,2017,April,15,9,2,1,2,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,F,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2017-04-06
10875,Resort Hotel,1,3,2017,April,15,9,2,1,1,0.0,0,BB,PRT,Corporate,Direct,0,0,0,A,F,0,Non Refund,,,0,Transient,100.0,0,0,Canceled,2017-04-06
10876,Resort Hotel,1,68,2017,April,15,9,2,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,90.0,0,0,Canceled,2017-02-19
10877,Resort Hotel,1,55,2017,April,15,9,2,2,2,2.0,0,BB,GBR,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240.0,,0,Transient,145.0,0,0,Canceled,2017-02-13
10878,Resort Hotel,1,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,,0,Transient,80.0,0,0,Canceled,2017-02-28
10879,Resort Hotel,1,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,,0,Transient,80.0,0,0,Canceled,2017-02-28
10880,Resort Hotel,1,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,C,1,Non Refund,492.0,,0,Transient,80.0,0,0,Canceled,2017-02-28
10881,Resort Hotel,1,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,E,E,0,Non Refund,492.0,,0,Transient,105.0,0,0,Canceled,2017-02-28
10882,Resort Hotel,1,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,,0,Transient,80.0,0,0,Canceled,2017-02-28
10883,Resort Hotel,1,124,2017,April,15,9,2,5,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492.0,,0,Transient,80.0,0,0,Canceled,2017-02-28
